Instance_number,c,d,e,Cluster
0,1.4,0.2,Iris-setosa,cluster1
1,1.4,0.2,Iris-setosa,cluster1
2,1.3,0.2,Iris-setosa,cluster1
3,1.5,0.2,Iris-setosa,cluster1
4,1.4,0.2,Iris-setosa,cluster1
5,1.7,0.4,Iris-setosa,cluster1
6,1.4,0.3,Iris-setosa,cluster1
7,1.5,0.2,Iris-setosa,cluster1
8,1.4,0.2,Iris-setosa,cluster1
9,1.5,0.1,Iris-setosa,cluster1
10,1.5,0.2,Iris-setosa,cluster1
11,1.6,0.2,Iris-setosa,cluster1
12,1.4,0.1,Iris-setosa,cluster1
13,1.1,0.1,Iris-setosa,cluster1
14,1.2,0.2,Iris-setosa,cluster1
15,1.5,0.4,Iris-setosa,cluster1
16,1.3,0.4,Iris-setosa,cluster1
17,1.4,0.3,Iris-setosa,cluster1
18,1.7,0.3,Iris-setosa,cluster1
19,1.5,0.3,Iris-setosa,cluster1
20,1.7,0.2,Iris-setosa,cluster1
21,1.5,0.4,Iris-setosa,cluster1
22,1,0.2,Iris-setosa,cluster1
23,1.7,0.5,Iris-setosa,cluster1
24,1.9,0.2,Iris-setosa,cluster1
25,1.6,0.2,Iris-setosa,cluster1
26,1.6,0.4,Iris-setosa,cluster1
27,1.5,0.2,Iris-setosa,cluster1
28,1.4,0.2,Iris-setosa,cluster1
29,1.6,0.2,Iris-setosa,cluster1
30,1.6,0.2,Iris-setosa,cluster1
31,1.5,0.4,Iris-setosa,cluster1
32,1.5,0.1,Iris-setosa,cluster1
33,1.4,0.2,Iris-setosa,cluster1
34,1.5,0.1,Iris-setosa,cluster1
35,1.2,0.2,Iris-setosa,cluster1
36,1.3,0.2,Iris-setosa,cluster1
37,1.5,0.1,Iris-setosa,cluster1
38,1.3,0.2,Iris-setosa,cluster1
39,1.5,0.2,Iris-setosa,cluster1
40,1.3,0.3,Iris-setosa,cluster1
41,1.3,0.3,Iris-setosa,cluster1
42,1.3,0.2,Iris-setosa,cluster1
43,1.6,0.6,Iris-setosa,cluster1
44,1.9,0.4,Iris-setosa,cluster1
45,1.4,0.3,Iris-setosa,cluster1
46,1.6,0.2,Iris-setosa,cluster1
47,1.4,0.2,Iris-setosa,cluster1
48,1.5,0.2,Iris-setosa,cluster1
49,1.4,0.2,Iris-setosa,cluster1
50,4.7,1.4,Iris-versicolor,cluster0
51,4.5,1.5,Iris-versicolor,cluster0
52,4.9,1.5,Iris-versicolor,cluster0
53,4,1.3,Iris-versicolor,cluster0
54,4.6,1.5,Iris-versicolor,cluster0
55,4.5,1.3,Iris-versicolor,cluster0
56,4.7,1.6,Iris-versicolor,cluster0
57,3.3,1,Iris-versicolor,cluster0
58,4.6,1.3,Iris-versicolor,cluster0
59,3.9,1.4,Iris-versicolor,cluster0
60,3.5,1,Iris-versicolor,cluster0
61,4.2,1.5,Iris-versicolor,cluster0
62,4,1,Iris-versicolor,cluster0
63,4.7,1.4,Iris-versicolor,cluster0
64,3.6,1.3,Iris-versicolor,cluster0
65,4.4,1.4,Iris-versicolor,cluster0
66,4.5,1.5,Iris-versicolor,cluster0
67,4.1,1,Iris-versicolor,cluster0
68,4.5,1.5,Iris-versicolor,cluster0
69,3.9,1.1,Iris-versicolor,cluster0
70,4.8,1.8,Iris-versicolor,cluster0
71,4,1.3,Iris-versicolor,cluster0
72,4.9,1.5,Iris-versicolor,cluster0
73,4.7,1.2,Iris-versicolor,cluster0
74,4.3,1.3,Iris-versicolor,cluster0
75,4.4,1.4,Iris-versicolor,cluster0
76,4.8,1.4,Iris-versicolor,cluster0
77,5,1.7,Iris-versicolor,cluster0
78,4.5,1.5,Iris-versicolor,cluster0
79,3.5,1,Iris-versicolor,cluster0
80,3.8,1.1,Iris-versicolor,cluster0
81,3.7,1,Iris-versicolor,cluster0
82,3.9,1.2,Iris-versicolor,cluster0
83,5.1,1.6,Iris-versicolor,cluster0
84,4.5,1.5,Iris-versicolor,cluster0
85,4.5,1.6,Iris-versicolor,cluster0
86,4.7,1.5,Iris-versicolor,cluster0
87,4.4,1.3,Iris-versicolor,cluster0
88,4.1,1.3,Iris-versicolor,cluster0
89,4,1.3,Iris-versicolor,cluster0
90,4.4,1.2,Iris-versicolor,cluster0
91,4.6,1.4,Iris-versicolor,cluster0
92,4,1.2,Iris-versicolor,cluster0
93,3.3,1,Iris-versicolor,cluster0
94,4.2,1.3,Iris-versicolor,cluster0
95,4.2,1.2,Iris-versicolor,cluster0
96,4.2,1.3,Iris-versicolor,cluster0
97,4.3,1.3,Iris-versicolor,cluster0
98,3,1.1,Iris-versicolor,cluster0
99,4.1,1.3,Iris-versicolor,cluster0
100,6,2.5,Iris-virginica,cluster2
101,5.1,1.9,Iris-virginica,cluster0
102,5.9,2.1,Iris-virginica,cluster2
103,5.6,1.8,Iris-virginica,cluster0
104,5.8,2.2,Iris-virginica,cluster2
105,6.6,2.1,Iris-virginica,cluster2
106,4.5,1.7,Iris-virginica,cluster0
107,6.3,1.8,Iris-virginica,cluster2
108,5.8,1.8,Iris-virginica,cluster0
109,6.1,2.5,Iris-virginica,cluster2
110,5.1,2,Iris-virginica,cluster0
111,5.3,1.9,Iris-virginica,cluster0
112,5.5,2.1,Iris-virginica,cluster2
113,5,2,Iris-virginica,cluster0
